state,district,year,rape,kidnapping
MAHARASHTRA,"PUNE COMMR.",2010,91,94
"MADHYA PRADESH",REWA,2011,91,25
CHHATTISGARH,DURG,2012,91,47
"MADHYA PRADESH",SHAJAPUR,2001,90,8
RAJASTHAN,BANSWARA,2001,90,59
"MADHYA PRADESH",INDORE,2006,90,33
"ANDHRA PRADESH",NALGONDA,2008,90,76
ODISHA,MAYURBHANJ,2008,90,45
ASSAM,GOALPARA,2009,90,89
"MADHYA PRADESH",RAJGARH,2011,90,21
KARNATAKA,"BANGALORE COMMR.",2012,90,433
"MADHYA PRADESH",RAJGARH,2012,90,47
DELHI,EAST,2012,90,251
UTTARAKHAND,TOTAL,2002,89,155
"WEST BENGAL","24 PARGANAS SOUTH",2003,89,69
DELHI,NORTH-EAST,2007,89,200
ASSAM,SONITPUR,2009,89,169
RAJASTHAN,GANGANAGAR,2009,89,56
"ANDHRA PRADESH",MAHABOOBNAGAR,2010,89,78
"MADHYA PRADESH",DEWAS,2010,89,26
